City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
218,moron,-34.6534,-58.6198,29.47,49,23,3.27,AR,1675637949
219,phangnga,8.4509,98.5298,24.02,93,42,1.65,TH,1675637949
220,leningradskiy,69.3833,178.4167,-29.88,98,100,1.84,RU,1675637949
221,nago,26.5881,127.9761,18.47,87,100,6.72,JP,1675637950
222,selje,62.0459,5.351,7.14,73,98,6.53,NO,1675637950
223,shiyan,32.6475,110.7781,5.34,65,59,0.66,CN,1675637950
224,lompoc,34.6391,-120.4579,16.5,75,75,9.26,US,1675637727
225,cayenne,4.9333,-52.3333,22.02,100,75,0.0,GF,1675637663
226,gushikawa,26.3544,127.8686,18.0,100,100,4.12,JP,1675637951
227,puerto santander,8.3636,-72.4063,31.67,61,7,0.49,CO,1675637951
228,laguna,38.421,-121.4238,15.08,62,75,5.14,US,1675637833
229,zhanakorgan,43.9098,67.2495,-0.37,78,57,0.34,KZ,1675637952
230,yumen,40.2833,97.2,-3.03,38,73,3.02,CN,1675637952
231,shahr-e babak,30.1165,55.1186,4.96,53,28,2.7,IR,1675637952
232,bathsheba,13.2167,-59.5167,25.34,78,75,10.8,BB,1675637781
233,dauphin,51.1494,-100.0502,-6.92,79,0,1.54,CA,1675637953
234,tuatapere,-46.1333,167.6833,14.39,90,91,5.0,NZ,1675637953
235,mount gambier,-37.8333,140.7667,16.89,63,36,2.27,AU,1675637953
236,poum,-20.2333,164.0167,28.86,80,100,8.99,NC,1675637954
237,cabo san lucas,22.8909,-109.9124,27.56,46,40,4.18,MX,1675637768
238,camacha,33.0833,-16.3333,14.68,67,40,6.69,PT,1675637800
239,sabha,27.0377,14.4283,10.16,54,5,4.06,LY,1675637954
240,khandyga,62.6667,135.6,-38.42,100,98,0.12,RU,1675637793
241,gat,31.61,34.7642,14.11,1,93,6.57,IL,1675637955
242,chanute,37.6792,-95.4572,15.25,43,57,1.75,US,1675637955
243,terme,41.2092,36.9739,6.13,79,100,0.11,TR,1675637955
244,matagami,49.7502,-77.6328,-16.94,71,0,2.06,CA,1675637956
245,catuday,16.2923,119.8062,23.58,80,73,4.04,PH,1675637956
246,key west,24.5557,-81.7826,27.0,79,0,3.6,US,1675637956
247,deputatskiy,69.3,139.9,-35.38,98,100,1.95,RU,1675637957
248,aldan,58.6031,125.3894,-33.26,100,100,0.79,RU,1675637957
249,roald,62.5833,6.1333,6.16,81,75,6.69,NO,1675637957
250,ahuimanu,21.4447,-157.8378,27.84,73,20,8.75,US,1675637958
251,vada,51.97,5.6667,4.05,90,30,3.21,NL,1675637958
252,high rock,26.6208,-78.2833,25.01,77,95,7.45,BS,1675637959
253,celestun,20.8667,-90.4,23.8,72,39,7.12,MX,1675637960
254,filadelfia,39.9523,-75.1638,9.06,47,100,3.74,US,1675637680
255,am timan,11.0297,20.2827,25.46,14,72,3.07,TD,1675637960
256,laredo,27.5064,-99.5075,27.16,34,0,2.57,US,1675637961
257,petropavlovsk-kamchatskiy,53.0452,158.6483,-7.67,93,75,1.0,RU,1675637877
258,adrar,20.5022,-10.0711,15.05,28,56,4.57,MR,1675637744
259,katsuura,35.1333,140.3,8.74,76,3,3.58,JP,1675637918
260,sorrento,40.626,14.3744,6.26,69,0,5.66,IT,1675637961
261,copiapo,-27.3667,-70.3333,21.83,48,88,2.02,CL,1675637775
262,narsaq,60.9167,-46.05,-10.06,73,100,7.55,GL,1675637962
263,port hedland,-20.3167,118.5667,27.03,78,0,2.06,AU,1675637962
264,manggar,-2.8833,108.2667,25.19,89,97,2.69,ID,1675637962
265,camocim,-2.9022,-40.8411,25.78,84,94,4.68,BR,1675637963
266,biograd na moru,43.9433,15.4519,1.39,53,87,4.87,HR,1675637963
267,ayan,56.45,138.1667,-23.64,81,84,3.49,RU,1675637963
268,gobabis,-22.45,18.9667,19.53,82,100,7.48,NA,1675637964
269,guadalupe,25.6833,-100.25,30.77,33,0,3.41,MX,1675637964
270,catalina,32.5056,-110.9211,23.88,17,0,1.79,US,1675637964
271,lasa,46.6166,10.7002,0.49,92,56,2.65,IT,1675637965
272,qax,41.4225,46.9242,-0.45,61,99,2.06,AZ,1675637965
273,dudinka,69.4058,86.1778,-19.55,100,97,1.63,RU,1675637965
274,carballo,43.213,-8.691,8.81,84,2,1.92,ES,1675637965
275,mawlaik,23.6333,94.4167,12.59,49,14,0.41,MM,1675637966
276,thinadhoo,0.5333,72.9333,26.98,69,100,3.11,MV,1675637966
277,san cristobal,7.7669,-72.225,26.1,77,33,1.42,VE,1675637967
278,kavaratti,10.5669,72.642,26.64,76,20,3.5,IN,1675637859
279,chapais,49.7834,-74.8492,-16.12,96,100,1.52,CA,1675637967
280,aleksandrov gay,50.147,48.5704,-12.63,95,65,2.62,RU,1675637968
281,skjervoy,70.0311,20.9714,3.0,72,97,12.18,NO,1675637968
282,wanning,18.8003,110.3967,21.71,89,99,1.14,CN,1675637968
283,hastings,50.8552,0.5729,4.73,55,60,4.66,GB,1675637969
284,kruisfontein,-34.0033,24.7314,23.82,87,76,3.54,ZA,1675637969
285,tigzirt,36.8886,4.1198,11.67,86,99,1.56,DZ,1675637969
286,verkhnevilyuysk,63.4453,120.3167,-47.85,100,67,1.31,RU,1675637970
287,chimbote,-9.0853,-78.5783,23.62,72,14,3.86,PE,1675637970
288,nyurba,63.2842,118.3319,-47.91,100,68,1.76,RU,1675637970
289,nuuk,64.1835,-51.7216,-11.18,85,100,2.68,GL,1675637971
290,newala,-10.9431,39.2787,19.63,96,100,1.26,TZ,1675637971
291,murdochville,48.9583,-65.5006,-13.51,97,100,1.76,CA,1675637971
292,labuhan,-6.8844,112.2051,25.48,84,100,1.5,ID,1675637971
293,sussex,41.1834,-74.6663,6.47,50,0,2.06,US,1675637972
294,zhigalovo,54.8097,105.1578,-19.68,100,99,1.22,RU,1675637972
295,qaqortoq,60.7167,-46.0333,-9.87,59,99,13.34,GL,1675637972
296,kirakira,-10.4544,161.9205,25.97,92,100,9.72,SB,1675637973
297,chuy,-33.6971,-53.4616,19.88,77,0,3.48,UY,1675637973
298,griffith,41.5284,-87.4237,4.96,68,0,5.66,US,1675637973
299,pareora,-44.4871,171.2132,24.32,41,9,3.34,NZ,1675637974
300,tongren,27.7172,109.1853,7.06,87,100,0.2,CN,1675637974
301,batemans bay,-35.7167,150.1833,21.72,58,49,1.53,AU,1675637974
302,lago da pedra,-4.3333,-45.1667,23.42,95,89,1.02,BR,1675637975
303,jashpurnagar,22.9,84.15,12.44,40,0,2.12,IN,1675637975
304,malumfashi,11.7853,7.6218,22.94,19,100,3.89,NG,1675637975
